POIS_ID;GRUPA;PODGRUPA;NAZWA;ADRES;KOD_POCZTO;STATUS_PUB;L_DZIECI_U;L_ODDZIALO;TYP
16049;Edukacja;Szko┼éy podstawowe;Sportowa Szko┼éa Podstawowa nr 46 Polskich Olimpijczyk├│w;┼Ücinawska 21;53-628;publiczna;539;26;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
15995;Edukacja;Szko┼éy podstawowe;Sportowa Szko┼éa Podstawowa nr 72              W┼éadka Zarembowicza;Trwa┼éa 17-19;53-335;publiczna;551;29;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
15898;Edukacja;Szko┼éy podstawowe;Szermiercza Sportowa Szko┼éa Podstawowa nr 85           Prof. Mariana Suskiego;gen. Traugutta 37;50-416;publiczna;335;18;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16135;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa Integracyjna nr 103;Nowodworska 70-82;54-438;publiczna;103;10;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
15937;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa Specjalna nr 100 dla Niepe┼énosprawnych Ruchowo;Po┼Ťwi─Öcka 8;51-128;publiczna;0;1;o┼Ťmioletnia szko┼éa podstawowa specjalna
16174;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa Specjalna nr 101;Wo┼éowska 9;51-116;publiczna;36;19;o┼Ťmioletnia szko┼éa podstawowa specjalna
15703;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa Specjalna nr 102 dla Uczni├│w z Autyzmem;G┼éogowska 30;53-621;publiczna;37;10;o┼Ťmioletnia szko┼éa podstawowa specjalna
19493;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa Specjalna nr 104;Kamienna 99-101;50-547;publiczna;60;8;o┼Ťmioletnia szko┼éa podstawowa specjalna
15914;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa Specjalna nr 120;Bia┼éowieska 74a;54-234;publiczna;62;10;o┼Ťmioletnia szko┼éa podstawowa specjalna
15934;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa Specjalna nr 86;Kielecka 51a;54-029;publiczna;58;8;o┼Ťmioletnia szko┼éa podstawowa specjalna
15901;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa Specjalna nr 87;Parkowa 27;51-616;publiczna;77;11;o┼Ťmioletnia szko┼éa podstawowa specjalna
